,Fitting Time,accuracy,TP,TN,FP,FN,Precision: 0,Precision: 1,Recall: 0,Recall: 1,F1 Score,metric,Classifier,Feature Set,Dataset
0,84.66404223442078,0.9984500303254936,14818.0,14814.0,24.0,22.0,0.9985171205176597,0.9983829672550869,0.9983825313384553,0.9985175202156334,0.9984502392022101,accuracy,Decision Tree,All,binary
1,84.12675976753235,0.9984837253184177,14810.0,14823.0,15.0,30.0,0.9979802060189861,0.9989881956155143,0.9989890820865346,0.9979784366576819,0.9984830608461149,accuracy,Decision Tree,All,binary
2,87.60685420036316,0.9978435204528607,14801.0,14813.0,25.0,39.0,0.9973740910315109,0.9983137731013085,0.9983151368108909,0.9973719676549865,0.9978426481493966,accuracy,Decision Tree,All,binary
3,75.89833784103394,0.9988880277656097,14824.0,14820.0,18.0,15.0,0.9989888776541962,0.9987872254413152,0.9987868985038415,0.9989891502122784,0.9988881776220477,accuracy,Decision Tree,All,binary
4,82.0465977191925,0.9982814974559423,14816.0,14810.0,28.0,23.0,0.9984494033573789,0.9981137159795204,0.9981129532281978,0.9984500303254936,0.9982818448270054,accuracy,Decision Tree,All,binary
fold average,82.86851835250854,0.9983893602636649,14813.8,14816.0,22.0,25.8,0.9982619397159465,0.998517175478549,0.998517320393584,0.9982614210132148,0.998389194129355,accuracy,Decision Tree,All,binary
0,77.05847692489624,0.9982478603679493,14812.0,14814.0,24.0,28.0,0.9981134617976014,0.9983823132919925,0.9983825313384553,0.9981132075471698,0.9982477422833266,accuracy,Decision Tree,Correlation,binary
1,82.550856590271,0.9977424354740886,14800.0,14811.0,27.0,40.0,0.9973065786815702,0.9981789977743306,0.9981803477557623,0.9973045822102425,0.9977415984090066,accuracy,Decision Tree,Correlation,binary
2,74.64466714859009,0.9984163353325696,14814.0,14817.0,21.0,26.0,0.9982483325473287,0.9985844287158746,0.9985847149211484,0.9982479784366577,0.9984161752316765,accuracy,Decision Tree,Correlation,binary
3,76.649498462677,0.998113016814368,14815.0,14806.0,32.0,24.0,0.9983816587997303,0.9978446824274264,0.9978433751179404,0.9983826403396455,0.9981135888971232,accuracy,Decision Tree,Correlation,binary
4,72.19328093528748,0.9980793206860532,14803.0,14817.0,21.0,36.0,0.9975762472227833,0.9985833783054506,0.9985847149211484,0.9975739605094683,0.998078414186023,accuracy,Decision Tree,Correlation,binary
fold average,76.61935601234435,0.9981197937350057,14808.8,14813.0,25.0,30.8,0.9979252558098027,0.9983147601030149,0.998315136810891,0.9979244738086368,0.9981195038014311,accuracy,Decision Tree,Correlation,binary
0,78.79609107971191,0.9978435204528607,14800.0,14814.0,24.0,40.0,0.9973071226605628,0.9983810037776578,0.9983825313384553,0.9973045822102425,0.9978425026968716,accuracy,Decision Tree,Mutual Information,binary
