,Fitting Time,accuracy,TP,TN,FP,FN,Precision: 0,Precision: 1,Recall: 0,Recall: 1,F1 Score,metric,Classifier,Feature Set,Dataset
0,3066.3871207237244,0.9917784217265314,14745.0,14689.0,149.0,95.0,0.9935741341991342,0.9899959715321606,0.9899582153929101,0.9935983827493261,0.9917939059662338,accuracy,KNN,All,binary
1,3392.7766671180725,0.9922838466203923,14752.0,14697.0,141.0,88.0,0.9940480216435577,0.9905324649164037,0.990497371613425,0.9940700808625337,0.9922981199340799,accuracy,KNN,All,binary
2,3168.193398475647,0.9920479816699238,14737.0,14705.0,133.0,103.0,0.9930443003781739,0.9910558170813719,0.9910365278339399,0.9930592991913747,0.9920565466173006,accuracy,KNN,All,binary
3,3251.927484512329,0.9927553324123058,14762.0,14700.0,138.0,77.0,0.994789199431549,0.9907382550335571,0.9906995551961181,0.9948109710896961,0.9927704361276438,accuracy,KNN,All,binary
4,3505.6571106910706,0.991306398894767,14732.0,14687.0,151.0,107.0,0.9927673381100446,0.9898541960626218,0.9898234263377814,0.992789271514253,0.9913195612677478,accuracy,KNN,All,binary
fold average,3276.9883563041685,0.9920343962647842,14745.6,14695.6,142.4,94.0,0.993644598752492,0.9904353409252229,0.990403019274835,0.9936656010814368,0.9920477139826012,accuracy,KNN,All,binary
0,1418.9925124645233,0.9896556371723162,14702.0,14669.0,169.0,138.0,0.990680083744175,0.9886355994889382,0.9886103248416228,0.9907008086253369,0.9896671266534279,accuracy,KNN,Correlation,binary
1,1434.3101074695587,0.9897230271581643,14723.0,14650.0,188.0,117.0,0.9920769282860432,0.9873918583596003,0.9873298288179,0.9921159029649596,0.9897482437565125,accuracy,KNN,Correlation,binary
2,1439.425810098648,0.9905654019812656,14707.0,14691.0,147.0,133.0,0.9910280626011873,0.9901036757775683,0.9900930044480388,0.9910377358490566,0.9905704856199906,accuracy,KNN,Correlation,binary
3,1322.707278728485,0.9909020453549887,14738.0,14669.0,169.0,101.0,0.9931618144888287,0.9886630442074194,0.9886103248416228,0.9931936114293416,0.9909231493310026,accuracy,KNN,Correlation,binary
4,1384.4820790290833,0.9886107086295784,14709.0,14630.0,208.0,130.0,0.9911924119241192,0.9860561775155863,0.9859819382666127,0.9912393018397466,0.9886409463637585,accuracy,KNN,Correlation,binary
fold average,1399.9835575580596,0.9898913640592626,14715.8,14661.8,176.2,123.8,0.9916278602088706,0.9881700710698225,0.9881250842431595,0.9916574721416882,0.9899099903449384,accuracy,KNN,Correlation,binary
0,3024.5799856185913,0.9918121167194555,14745.0,14690.0,148.0,95.0,0.9935745688197497,0.9900624454441684,0.9900256099204745,0.9935983827493261,0.9918272626374735,accuracy,KNN,Mutual Information,binary
1,2970.7963387966156,0.9922838466203923,14752.0,14697.0,141.0,88.0,0.9940480216435577,0.9905324649164037,0.990497371613425,0.9940700808625337,0.9922981199340799,accuracy,KNN,Mutual Information,binary
2,2766.7125034332275,0.9920142866769998,14736.0,14705.0,133.0,104.0,0.9929772435681005,0.991055215549129,0.9910365278339399,0.9929919137466308,0.9920226194082601,accuracy,KNN,Mutual Information,binary
3,3082.8897688388824,0.9924183711291572,14762.0,14690.0,148.0,77.0,0.9947856707523532,0.9900737759892689,0.9900256099204745,0.9948109710896961,0.9924367205620357,accuracy,KNN,Mutual Information,binary
4,3066.4952199459076,0.9912727027664522,14731.0,14687.0,151.0,108.0,0.9927002365664076,0.9898535143125924,0.9898234263377814,0.9927218815284049,0.9912856229601965,accuracy,KNN,Mutual Information,binary
fold average,2982.294763326645,0.9919602647824914,14745.2,14693.8,144.2,94.4,0.9936171482700337,0.9903154832423124,0.9902817091252191,0.9936386459953184,0.9919740691004092,accuracy,KNN,Mutual Information,binary
0,1106.654001712799,0.9560280342341128,14199.0,14174.0,664.0,641.0,0.9567330408369895,0.9553253044472853,0.9552500336972638,0.9568059299191375,0.9560650439349562,accuracy,KNN,PCA,binary
1,1136.4776315689087,0.9569714940359862,14220.0,14181.0,657.0,620.0,0.9581109384501048,0.955837870538415,0.9557217953902143,0.9582210242587601,0.957027963791769,accuracy,KNN,PCA,binary
2,973.2058415412903,0.9563986791562774,14200.0,14184.0,654.0,640.0,0.9568267674042094,0.955971455500202,0.9559239789729074,0.9568733153638814,0.9564221728295278,accuracy,KNN,PCA,binary
3,623.4319939613342,0.9580820163763184,14222.0,14211.0,627.0,617.0,0.9583895333153494,0.9577749343390127,0.9577436312171451,0.9584203787317205,0.9580975478307734,accuracy,KNN,PCA,binary
4,1095.676816701889,0.9555548067527041,14175.0,14183.0,655.0,664.0,0.9552771603690982,0.9558327714093054,0.955856584445343,0.9552530493968596,0.9555428224746367,accuracy,KNN,PCA,binary
fold average,987.0892570972443,0.9566070061110798,14203.2,14186.6,651.4,636.4,0.9570674880751502,0.956148467246844,0.9560992047445748,0.9571147395340718,0.9566311101723326,accuracy,KNN,PCA,binary
