,Fitting Time,accuracy,TP,TN,FP,FN,Precision: 0,Precision: 1,Recall: 0,Recall: 1,F1 Score,metric,Classifier,Feature Set,Dataset
0,130.25644063949585,0.992755576521329,14693.0,14770.0,68.0,147.0,0.990145471609573,0.9953932660388862,0.9954171721256234,0.9900943396226415,0.9927367318671666,accuracy,Logistic Regression,All,binary
1,164.99294686317444,0.9930588314576454,14689.0,14783.0,55.0,151.0,0.9898888442480246,0.9962696690179056,0.9962933009839601,0.9898247978436657,0.9930367766360195,accuracy,Logistic Regression,All,binary
2,145.63349556922913,0.9934294763798099,14701.0,14782.0,56.0,139.0,0.990684270491254,0.9962051907569289,0.9962259064563957,0.990633423180593,0.9934114944082172,accuracy,Logistic Regression,All,binary
3,162.2688193321228,0.9937999123900664,14702.0,14791.0,47.0,137.0,0.9908226152197214,0.9968133432775104,0.996832457204475,0.9907675719388099,0.993781262674057,accuracy,Logistic Regression,All,binary
4,184.20481729507446,0.9931596859520841,14693.0,14781.0,57.0,146.0,0.9902190661217928,0.996135593220339,0.9961585119288314,0.9901610620661769,0.9931393423231606,accuracy,Logistic Regression,All,binary
fold average,157.47130393981934,0.9932406965401869,14695.6,14781.4,56.6,144.0,0.9903520535380732,0.996163412462314,0.9961854697398571,0.9902962389303773,0.9932211215817242,accuracy,Logistic Regression,All,binary
0,101.48514103889465,0.9893523822359997,14690.0,14672.0,166.0,150.0,0.9898799082445014,0.9888260635433495,0.9888125084243159,0.9898921832884097,0.9893588362068965,accuracy,Logistic Regression,Correlation,binary
1,90.09552431106567,0.9893523822359997,14690.0,14672.0,166.0,150.0,0.9898799082445014,0.9888260635433495,0.9888125084243159,0.9898921832884097,0.9893588362068965,accuracy,Logistic Regression,Correlation,binary
2,94.22821879386902,0.9898241121369364,14696.0,14680.0,158.0,144.0,0.9902860226659471,0.9893631345092231,0.9893516646448308,0.9902964959568733,0.9898295952044183,accuracy,Logistic Regression,Correlation,binary
3,94.11143231391907,0.9897226808639688,14700.0,14672.0,166.0,139.0,0.9906150833839714,0.9888335799811651,0.9888125084243159,0.9906327919671137,0.9897323682881669,accuracy,Logistic Regression,Correlation,binary
4,98.27572751045227,0.9892846311958756,14693.0,14666.0,172.0,146.0,0.9901431271941669,0.9884291960982173,0.9884081412589297,0.9901610620661769,0.9892943711284674,accuracy,Logistic Regression,Correlation,binary
fold average,95.63920879364014,0.9895072377337559,14693.8,14672.4,165.6,145.8,0.9901608099466175,0.9888556075350609,0.9888394662353417,0.9901749433133966,0.9895148014069692,accuracy,Logistic Regression,Correlation,binary
0,137.83883786201477,0.9887458723633668,14625.0,14719.0,119.0,215.0,0.9856033212803,0.9919289202387411,0.9919800512198409,0.985512129380054,0.9887101135749053,accuracy,Logistic Regression,Mutual Information,binary
1,142.42501306533813,0.98952085720062,14631.0,14736.0,102.0,209.0,0.9860153897624624,0.9930767664426797,0.9931257581884351,0.9859164420485175,0.9894836506272613,accuracy,Logistic Regression,Mutual Information,binary
2,102.98720669746399,0.9878024125614934,14593.0,14723.0,115.0,247.0,0.983500334001336,0.9921811259178678,0.9922496293300984,0.983355795148248,0.9877487478001895,accuracy,Logistic Regression,Mutual Information,binary
3,133.58677864074707,0.9892172389392458,14602.0,14755.0,83.0,237.0,0.9841915688367129,0.994347974123255,0.994406254212158,0.9840285733539996,0.9891613602492888,accuracy,Logistic Regression,Mutual Information,binary
4,119.79462146759033,0.9895542002223945,14620.0,14747.0,91.0,219.0,0.9853668314846986,0.9938141526748692,0.9938670979916431,0.9852415930992654,0.9895093062605752,accuracy,Logistic Regression,Mutual Information,binary
fold average,127.32649154663086,0.988968116257424,14614.2,14736.0,102.0,225.4,0.9849354890731019,0.9930697878794824,0.9931257581884351,0.984810906606017,0.9889226357024441,accuracy,Logistic Regression,Mutual Information,binary
0,47.15675497055054,0.9645528674438978,13958.0,14668.0,170.0,882.0,0.9432797427652733,0.9879671574178935,0.9885429303140585,0.940566037735849,0.9636840651753659,accuracy,Logistic Regression,RFE Sets,binary
1,55.49976682662964,0.9654289372599232,13978.0,14674.0,164.0,862.0,0.9445159629248198,0.9884033375760147,0.9889472974794447,0.9419137466307278,0.9645987164446899,accuracy,Logistic Regression,RFE Sets,binary
2,48.25957155227661,0.9614866230878092,13878.0,14657.0,181.0,962.0,0.9384083488059415,0.9871256846148375,0.9878015905108505,0.9351752021563342,0.9604484584241669,accuracy,Logistic Regression,RFE Sets,binary
3,52.554927587509155,0.9637766620615291,13924.0,14678.0,160.0,915.0,0.9413198229974988,0.9886395910252769,0.9892168755897022,0.9383381629489858,0.9628323479583722,accuracy,Logistic Regression,RFE Sets,binary
4,46.34815835952759,0.9619907672608418,13932.0,14617.0,221.0,907.0,0.9415743365112085,0.9843849360559599,0.9851058094082761,0.9388772828357707,0.9610927152317881,accuracy,Logistic Regression,RFE Sets,binary
fold average,49.963835859298705,0.9634471714228002,13934.0,14658.8,179.2,905.6,0.9418196428009484,0.9873041413379966,0.9879229006604664,0.9389740864615336,0.9625312606468766,accuracy,Logistic Regression,RFE Sets,binary
0,27.02306628227234,0.6886582653817642,5924.0,14514.0,324.0,8916.0,0.6194622279129322,0.9481434058898848,0.9781641730691468,0.39919137466307275,0.5618361153262519,accuracy,Logistic Regression,PCA,binary
1,29.253257274627686,0.6869398207426376,5853.0,14534.0,304.0,8987.0,0.6179159049360147,0.9506253045314277,0.979512063620434,0.3944070080862534,0.5575082154593514,accuracy,Logistic Regression,PCA,binary
2,27.151874542236328,0.686569175820473,5852.0,14524.0,314.0,8988.0,0.6177271180673699,0.9490755757379176,0.9788381183447904,0.39433962264150946,0.5571741407216987,accuracy,Logistic Regression,PCA,binary
3,26.84615468978882,0.6941402432860464,6081.0,14519.0,319.0,8758.0,0.6237487648751987,0.95015625,0.9785011457069686,0.40979850394231415,0.5726258298413296,accuracy,Logistic Regression,PCA,binary
4,26.872987747192383,0.6831216093270883,5761.0,14512.0,326.0,9078.0,0.6151759220008478,0.9464432396911451,0.9780293840140181,0.3882337084709212,0.5506069005065469,accuracy,Logistic Regression,PCA,binary
fold average,27.42946810722351,0.6878858229116019,5894.2,14520.6,317.4,8945.4,0.6188059875584726,0.9488887551700749,0.9786089769510715,0.3971940435608142,0.5599502403710357,accuracy,Logistic Regression,PCA,binary
