,Fitting Time,accuracy,TP,TN,FP,FN,Precision: 0,Precision: 1,Recall: 0,Recall: 1,F1 Score,metric,Classifier,Feature Set,Dataset
0,2040.1625854969025,0.9992250151627469,14822.0,14833.0,5.0,18.0,0.9987879604067066,0.9996627773656168,0.9996630273621782,0.9987870619946092,0.9992247278120471,accuracy,Random Forest,All,binary
1,2105.749575853348,0.999326100141519,14826.0,14832.0,6.0,14.0,0.9990569850464772,0.9995954692556634,0.9995956328346138,0.9990566037735849,0.9993259638716635,accuracy,Random Forest,All,binary
2,2125.7242393493652,0.9992250151627469,14825.0,14830.0,8.0,15.0,0.998989558773998,0.9994606620373492,0.9994608437794851,0.998989218328841,0.9992248845752032,accuracy,Random Forest,All,binary
3,2101.1854202747345,0.9994271658186474,14831.0,14829.0,9.0,8.0,0.9994608074408573,0.9993935309973045,0.9993934492519208,0.9994608801132152,0.999427204420634,accuracy,Random Forest,All,binary
4,2126.366557598114,0.9994271658186474,14826.0,14834.0,4.0,13.0,0.999124402236142,0.9997302764666217,0.9997304218897426,0.9991239301839746,0.9994270113586572,accuracy,Random Forest,All,binary
fold average,2099.837675714493,0.9993260924208615,14826.0,14831.6,6.4,13.6,0.9990839427808362,0.999568543224511,0.9995686750235879,0.9990835388788449,0.999325958407641,accuracy,Random Forest,All,binary
0,2356.684574842453,0.998685895275962,14814.0,14825.0,13.0,26.0,0.9982492761430207,0.9991232211506036,0.9991238711416633,0.9982479784366577,0.9986854080291233,accuracy,Random Forest,Correlation,binary
1,2360.8129885196686,0.9986185052901139,14812.0,14825.0,13.0,28.0,0.9981148589510537,0.9991231028667791,0.9991238711416633,0.9981132075471698,0.998617899882016,accuracy,Random Forest,Correlation,binary
2,2131.970657348633,0.9986522002830379,14805.0,14833.0,5.0,35.0,0.9976459510357816,0.99966239027684,0.9996630273621782,0.9976415094339622,0.9986509274873524,accuracy,Random Forest,Correlation,binary
3,2231.518924474716,0.9986521548674058,14818.0,14819.0,19.0,21.0,0.9985849056603774,0.9987194176720361,0.9987195039762772,0.9985848102971898,0.9986521094487126,accuracy,Random Forest,Correlation,binary
4,2205.333389520645,0.9987532432523503,14810.0,14830.0,8.0,29.0,0.9980483208829666,0.9994601160750438,0.9994608437794851,0.998045690410405,0.9987524024682198,accuracy,Random Forest,Correlation,binary
fold average,2257.264106941223,0.9986723997937739,14811.8,14826.4,11.6,27.8,0.9981286625346399,0.9992176496082605,0.9992182234802535,0.9981266392250768,0.9986717494630849,accuracy,Random Forest,Correlation,binary
0,2474.413863658905,0.9991239301839746,14820.0,14832.0,6.0,20.0,0.9986533800161594,0.9995953055443141,0.9995956328346138,0.9986522911051213,0.9991235758106926,accuracy,Random Forest,Mutual Information,binary
1,2372.6164305210114,0.9988880652335063,14820.0,14825.0,13.0,20.0,0.9986527450319973,0.9991235758106923,0.9991238711416633,0.9986522911051213,0.9988878778687695,accuracy,Random Forest,Mutual Information,binary
2,2569.319699525833,0.9984837253184177,14810.0,14823.0,15.0,30.0,0.9979802060189861,0.9989881956155143,0.9989890820865346,0.9979784366576819,0.9984830608461149,accuracy,Random Forest,Mutual Information,binary
3,2273.5239815711975,0.9989891161505543,14822.0,14825.0,13.0,17.0,0.9988546018056865,0.99912369396697,0.9991238711416633,0.9988543702405822,0.9989890139516074,accuracy,Random Forest,Mutual Information,binary
4,2490.4665820598602,0.9989891161505543,14821.0,14826.0,12.0,18.0,0.9987873888439773,0.9991909930560238,0.9991912656692277,0.9987869802547341,0.9989889458074953,accuracy,Random Forest,Mutual Information,binary
fold average,2436.0681114673616,0.9988947906074014,14818.6,14826.2,11.8,21.0,0.9985856643433614,0.9992043527987029,0.9992047445747406,0.9985848738726482,0.998894494856936,accuracy,Random Forest,Mutual Information,binary
0,2352.490881919861,0.9985848102971898,14805.0,14831.0,7.0,35.0,0.9976456343333782,0.9995274102079396,0.9995282383070495,0.9976415094339622,0.9985835694050992,accuracy,Random Forest,RFE Sets,binary
1,2484.753999710083,0.9983152503537974,14808.0,14820.0,18.0,32.0,0.9978454080258551,0.9987859166329421,0.9987868985038415,0.997843665768194,0.9983145688667161,accuracy,Random Forest,RFE Sets,binary
2,2467.0717208385468,0.9979109104387088,14795.0,14821.0,17.0,45.0,0.9969729584286291,0.9988522819335673,0.9988542930314058,0.996967654986523,0.9979090786456225,accuracy,Random Forest,RFE Sets,binary
3,2477.6339795589447,0.9984499780975166,14813.0,14818.0,20.0,26.0,0.9982484505524117,0.9986516550933728,0.9986521094487127,0.9982478603679493,0.9984497169048261,accuracy,Random Forest,RFE Sets,binary
4,2441.7243704795837,0.9984836742258314,14809.0,14823.0,15.0,30.0,0.9979802060189861,0.9989881273610361,0.9989890820865346,0.9979783004245569,0.9984829585679129,accuracy,Random Forest,RFE Sets,binary
fold average,2444.734990501404,0.9983489246826089,14806.0,14822.6,15.4,33.6,0.997738531471852,0.9989610782457715,0.9989621242755089,0.997735798196237,0.9983479784780354,accuracy,Random Forest,RFE Sets,binary
0,1756.0628116130829,0.9660354471325561,14348.0,14322.0,516.0,492.0,0.9667881733495343,0.9652852529601722,0.9652244237767893,0.9668463611859839,0.9660651764072179,accuracy,Random Forest,PCA,binary
1,1793.056648015976,0.9654963272457713,14345.0,14309.0,529.0,495.0,0.9665630910564712,0.9644345838375689,0.9643482949184526,0.9666442048517521,0.9655381301743287,accuracy,Random Forest,PCA,binary
2,1766.153362751007,0.9709212211065436,14432.0,14383.0,455.0,408.0,0.9724156581705091,0.9694364210384899,0.9693354899582154,0.9725067385444744,0.9709691526221953,accuracy,Random Forest,PCA,binary
3,1822.0120949745178,0.9653940762206422,14300.0,14350.0,488.0,539.0,0.9637987776210625,0.9670002704895861,0.9671114705485915,0.9636767976278725,0.9653356735410268,accuracy,Random Forest,PCA,binary
4,1793.2777516841888,0.9697745729015737,14401.0,14379.0,459.0,438.0,0.9704393601943714,0.9691117092866757,0.969065911847958,0.9704831861985309,0.9697969628607025,accuracy,Random Forest,PCA,binary
fold average,1786.1125338077545,0.9675243289214173,14365.2,14348.6,489.4,474.4,0.9680010120783896,0.9670536475224984,0.9670171182100014,0.9680314576817228,0.9675410191210944,accuracy,Random Forest,PCA,binary
