,Fitting Time,accuracy,Precision,Recall,F1 Score,metric,Classifier,Feature Set,Dataset
0,191.88617157936096,0.7897769391468428,0.7908455515620666,0.7897639698721947,0.7886238578181128,accuracy,Decision Tree,All,multiclass
1,191.5028681755066,0.7808814610148932,0.7854032742465943,0.7808908837378477,0.7809385688511236,accuracy,Decision Tree,All,multiclass
2,188.46194791793823,0.7859958890723456,0.7876620986836861,0.7860032925795303,0.7850291283257088,accuracy,Decision Tree,All,multiclass
3,110.61163187026978,0.7842099942716582,0.7825130675118591,0.7842120936837326,0.7822169102734229,accuracy,Decision Tree,All,multiclass
4,100.81317949295044,0.7886915793375341,0.7900296314422642,0.7886856301900461,0.7881645860440213,accuracy,Decision Tree,All,multiclass
fold average,156.6551598072052,0.7859111725686547,0.7872907246892941,0.7859111740126703,0.7849946102624779,accuracy,Decision Tree,All,multiclass
0,190.0633134841919,0.7890019543095896,0.7889545487452848,0.7889894095247808,0.7868051951299254,accuracy,Decision Tree,Correlation,multiclass
1,207.26322841644287,0.7915964687647415,0.793496465865204,0.7916081118821073,0.7895582503165884,accuracy,Decision Tree,Correlation,multiclass
2,221.95782375335693,0.790578562523166,0.7911074845200475,0.7905861613155848,0.789195714545698,accuracy,Decision Tree,Correlation,multiclass
3,108.84016036987305,0.7862991542271793,0.7890291997137862,0.7862992537132096,0.7858653881442544,accuracy,Decision Tree,Correlation,multiclass
4,99.1288001537323,0.7900057283418135,0.7923118299300005,0.789999823477551,0.7901632498234,accuracy,Decision Tree,Correlation,multiclass
fold average,165.4506652355194,0.7894963736332979,0.7909799057548645,0.7894965519826467,0.7883175595919731,accuracy,Decision Tree,Correlation,multiclass
0,209.28319787979126,0.7860704899251971,0.786500313886453,0.7860574887851038,0.784021119959998,accuracy,Decision Tree,Mutual Information,multiclass
1,210.097026348114,0.7860367949322731,0.7866837834572489,0.7860459794124702,0.7850715550390457,accuracy,Decision Tree,Mutual Information,multiclass
2,224.72561025619507,0.7896350709303501,0.7910604063913427,0.7896428286175143,0.7882296466281811,accuracy,Decision Tree,Mutual Information,multiclass
3,110.45713591575623,0.7921285844256495,0.7934039161112666,0.7921288394858489,0.791363983058846,accuracy,Decision Tree,Mutual Information,multiclass
4,118.76201462745667,0.7829632375240085,0.7835117053397531,0.7829569863826005,0.7821422475712382,accuracy,Decision Tree,Mutual Information,multiclass
fold average,174.66499700546265,0.7873668355474956,0.7882320250372128,0.7873664245367075,0.7861657104514618,accuracy,Decision Tree,Mutual Information,multiclass
0,204.64710140228271,0.7882269694723364,0.7875499212182198,0.7882138140148581,0.7868228019401869,accuracy,Decision Tree,RFE Sets,multiclass
1,195.1977572441101,0.7893725992317542,0.7894890192002535,0.7893838064407376,0.7875005017252629,accuracy,Decision Tree,RFE Sets,multiclass
2,211.8728678226471,0.7926003302220574,0.7931373448281506,0.7926074659407017,0.7907289404858181,accuracy,Decision Tree,RFE Sets,multiclass
3,123.47217583656311,0.7930383798901506,0.7927047395644369,0.7930395237032056,0.7911738362407741,accuracy,Decision Tree,RFE Sets,multiclass
4,110.407386302948,0.7908144354213701,0.7923716559820652,0.7908084079821708,0.7905259639325016,accuracy,Decision Tree,RFE Sets,multiclass
fold average,169.1194577217102,0.7908105428475338,0.7910505361586252,0.7908106036163348,0.7893504088649087,accuracy,Decision Tree,RFE Sets,multiclass
0,154.86014366149902,0.6415863602668643,0.6425366457154985,0.6415635944459935,0.6404376568816338,accuracy,Decision Tree,PCA,multiclass
1,173.0936803817749,0.6429004649909024,0.6420794335889319,0.6429070174538206,0.6410433788735675,accuracy,Decision Tree,PCA,multiclass
2,196.38295221328735,0.6483809010344711,0.6483683232812972,0.6483889112084454,0.6466410721685901,accuracy,Decision Tree,PCA,multiclass
3,91.24694013595581,0.6438656198402803,0.6434675730332162,0.6438673758510534,0.6421222644290283,accuracy,Decision Tree,PCA,multiclass
4,88.88368225097656,0.6490211274724534,0.6494355404519466,0.6490153343525871,0.6473838131163511,accuracy,Decision Tree,PCA,multiclass
fold average,140.89347972869874,0.6451508947209943,0.6451775032141781,0.64514844666238,0.6435256370938341,accuracy,Decision Tree,PCA,multiclass
