,Fitting Time,accuracy,Precision,Recall,F1 Score,metric,Classifier,Feature Set,Dataset
0,1850.657990694046,0.7145697149403598,0.7120305905838756,0.7145507917740104,0.7110846007353869,accuracy,KNN,All,multiclass
1,1695.5557219982147,0.7121773704427522,0.709470142164807,0.7121837701119816,0.7085163507736875,accuracy,KNN,All,multiclass
2,1798.8194999694824,0.7120328874212353,0.7094503234793167,0.7120416395753741,0.7089764255683993,accuracy,KNN,All,multiclass
3,1876.2434294223785,0.7098089429524548,0.7063523551986696,0.7098095976563048,0.7057626550944828,accuracy,KNN,All,multiclass
4,1764.9816946983337,0.7109883074434747,0.7092988836069667,0.7109835536649493,0.70784972187836,accuracy,KNN,All,multiclass
fold average,1797.251667356491,0.7119154446400554,0.709320459006727,0.711913870556524,0.7084379508100633,accuracy,KNN,All,multiclass
0,1149.9406821727753,0.7114023856054991,0.7083359682581977,0.7113832898401632,0.7077658486266843,accuracy,KNN,Correlation,multiclass
1,1063.515067577362,0.7089426511220432,0.7061557635132151,0.7089488055477736,0.7048818745592094,accuracy,KNN,Correlation,multiclass
2,1127.1005954742432,0.7080567442800823,0.7048893033546073,0.7080653896901955,0.7045369895363757,accuracy,KNN,Correlation,multiclass
3,1064.2190709114075,0.7092361087711022,0.7060102934757291,0.7092365807252959,0.7049286313094658,accuracy,KNN,Correlation,multiclass
4,1083.2589025497437,0.707652390740304,0.7058247896628438,0.7076479467878526,0.703818011835549,accuracy,KNN,Correlation,multiclass
fold average,1097.6068637371063,0.7090580561038061,0.7062432236529186,0.7090564025182562,0.7051862711734568,accuracy,KNN,Correlation,multiclass
0,1696.214207649231,0.7145360199474358,0.7119927602331254,0.7145170945102283,0.7110458254896302,accuracy,KNN,Mutual Information,multiclass
1,1634.0326898097992,0.7122110654356762,0.7095156542579405,0.7122174673757637,0.7085524208996409,accuracy,KNN,Mutual Information,multiclass
2,1607.9756207466125,0.712100279677865,0.7095393516628358,0.7121090341029386,0.7090540753950477,accuracy,KNN,Mutual Information,multiclass
3,1676.2231013774872,0.7099100313373994,0.7064551466604683,0.7099106894476513,0.7058797847459873,accuracy,KNN,Mutual Information,multiclass
4,1575.767062664032,0.7109883074434747,0.7093078167517964,0.7109835536649493,0.7078506781958419,accuracy,KNN,Mutual Information,multiclass
fold average,1638.0425364494324,0.7119491407683702,0.7093621459132333,0.7119475678203062,0.7084765569452296,accuracy,KNN,Mutual Information,multiclass
0,665.480584859848,0.6489992587101556,0.6459240170068404,0.6489773329920566,0.6445800217495729,accuracy,KNN,PCA,multiclass
1,627.2369713783264,0.6469438641417885,0.6432638960720201,0.6469496539451732,0.6418208966183788,accuracy,KNN,PCA,multiclass
2,722.6807913780212,0.6489537352158237,0.6437150828720098,0.648962895199167,0.6434817746415763,accuracy,KNN,PCA,multiclass
3,562.7861411571503,0.6438993159685952,0.6402766382188423,0.6438988121019867,0.6385229975536195,accuracy,KNN,PCA,multiclass
4,876.7222456932068,0.6464265255922095,0.6408830174680243,0.6464227970897333,0.640688929660886,accuracy,KNN,PCA,multiclass
fold average,690.9813468933105,0.6470445399257144,0.6428125303275475,0.6470422982656233,0.6418189240448067,accuracy,KNN,PCA,multiclass
