,Fitting Time,accuracy,Precision,Recall,F1 Score,metric,Classifier,Feature Set,Dataset
0,325.169127702713,0.6732259586225486,0.6769622344269276,0.6732110866340579,0.6564982175233796,accuracy,Logistic Regression,All,multiclass
1,328.4438030719757,0.672080328863131,0.6740166976154435,0.6720790683275903,0.6574911262765722,accuracy,Logistic Regression,All,multiclass
2,337.0517625808716,0.6698453347710348,0.6695178235535774,0.6698649510645994,0.6512822898331915,accuracy,Logistic Regression,All,multiclass
3,325.42151713371277,0.6731138592175759,0.6758026901518313,0.6731167915018171,0.6554091983403522,accuracy,Logistic Regression,All,multiclass
4,360.24629402160645,0.6688344509215891,0.671345064443543,0.6688248170513712,0.655259510092908,accuracy,Logistic Regression,All,multiclass
fold average,335.2665009021759,0.6714199864791759,0.6735289020382645,0.6714193429158872,0.6551880684132807,accuracy,Logistic Regression,All,multiclass
0,209.1579508781433,0.6726194487499157,0.6731503853822186,0.6726042634747921,0.6553143389963753,accuracy,Logistic Regression,Correlation,multiclass
1,199.62441515922546,0.6705303591886246,0.6723044889660553,0.6705289260908134,0.6564518106813637,accuracy,Logistic Regression,Correlation,multiclass
2,202.79629755020142,0.6690029315631634,0.6689964427122862,0.6690226556756381,0.654717036179147,accuracy,Logistic Regression,Correlation,multiclass
3,213.79798412322998,0.6721029753681302,0.6741317918650505,0.6721059416911482,0.6577382231188791,accuracy,Logistic Regression,Correlation,multiclass
4,202.14511919021606,0.6653974458334737,0.6665613594833035,0.6653883907941146,0.6513092209980839,accuracy,Logistic Regression,Correlation,multiclass
fold average,205.50435338020324,0.6699306321406615,0.6710288936817829,0.6699300355453013,0.6551061259947698,accuracy,Logistic Regression,Correlation,multiclass
0,271.06509828567505,0.6700586292876879,0.6750673446517058,0.6700446743449574,0.6547716973093688,accuracy,Logistic Regression,Mutual Information,multiclass
1,287.51979780197144,0.6674304198396118,0.6715649894295636,0.6674289548901241,0.6532558901223428,accuracy,Logistic Regression,Mutual Information,multiclass
2,311.7118282318115,0.6666442025811234,0.667587751516228,0.6666637518669701,0.6524113906258017,accuracy,Logistic Regression,Mutual Information,multiclass
3,318.7046630382538,0.6693061967179971,0.6729005988601835,0.6693089734533121,0.6550877749021002,accuracy,Logistic Regression,Mutual Information,multiclass
4,291.6128911972046,0.6678572632004582,0.6703637735255663,0.6678480867418237,0.6547934585789462,accuracy,Logistic Regression,Mutual Information,multiclass
fold average,296.1228557109833,0.6682593423253758,0.6714968915966495,0.6682588882594376,0.6540640423077119,accuracy,Logistic Regression,Mutual Information,multiclass
0,153.71866726875305,0.6795943122851944,0.6880791368772332,0.6795797060421783,0.6606931590380873,accuracy,Logistic Regression,RFE Sets,multiclass
1,158.76128482818604,0.6764943729361816,0.6834137528142957,0.6764873078724762,0.6574003420019338,accuracy,Logistic Regression,RFE Sets,multiclass
2,158.45003581047058,0.6782019745931193,0.684159644581972,0.6782213957630036,0.6598507302268106,accuracy,Logistic Regression,RFE Sets,multiclass
3,155.2847936153412,0.6790780739293055,0.6853386803097857,0.6790765217188536,0.6574088899347318,accuracy,Logistic Regression,RFE Sets,multiclass
4,159.44945645332336,0.675438892071301,0.6787779357119891,0.6754305976385436,0.654154968443497,accuracy,Logistic Regression,RFE Sets,multiclass
fold average,157.13284759521486,0.6777615251630204,0.6839538300590551,0.677759105807011,0.6579016179290121,accuracy,Logistic Regression,RFE Sets,multiclass
0,105.6604311466217,0.2717501179324752,0.2511219575351962,0.2717555609747221,0.21509103768899288,accuracy,Logistic Regression,PCA,multiclass
1,95.62936353683472,0.18060516207291596,0.1932255418537269,0.18061183116652027,0.1296206744149676,accuracy,Logistic Regression,PCA,multiclass
2,80.50291228294373,0.17532095562219902,0.16825831352063977,0.17532581467561872,0.12609095827861097,accuracy,Logistic Regression,PCA,multiclass
3,70.41882371902466,0.17980254068807494,0.18556771891193646,0.17980752351753013,0.12869664718681909,accuracy,Logistic Regression,PCA,multiclass
4,105.43535685539246,0.17767968460423897,0.20067802573480054,0.17765276465209878,0.12911767670380775,accuracy,Logistic Regression,PCA,multiclass
fold average,91.52937750816345,0.19703169218398084,0.19977031151125998,0.197030698997298,0.14572339885463964,accuracy,Logistic Regression,PCA,multiclass
