,Fitting Time,accuracy,Precision,Recall,F1 Score,metric,Classifier,Feature Set,Dataset
0,145.79684209823608,0.3216524024529955,0.5129478224883729,0.3216409548644084,0.23748789618275365,accuracy,Naive Bayes,All,multiclass
1,146.899964094162,0.3186198530898309,0.42031407974495005,0.3186096993855384,0.2342278339987233,accuracy,Naive Bayes,All,multiclass
2,148.2742395401001,0.3203827880176568,0.339017934860301,0.32039295749524666,0.24138190836163334,accuracy,Naive Bayes,All,multiclass
3,98.76092267036438,0.32823398591501834,0.38596369311134887,0.32824484219383404,0.2565302256418886,accuracy,Naive Bayes,All,multiclass
4,97.16943264007568,0.31364356235468543,0.3747573269321765,0.3136242205362512,0.24350103067848805,accuracy,Naive Bayes,All,multiclass
fold average,127.38028020858765,0.3205065183660374,0.4066001714274298,0.32050253489505576,0.2426257789726974,accuracy,Naive Bayes,All,multiclass
0,75.63028120994568,0.3194959229058562,0.3529464878824862,0.31948509273367126,0.24057685426188444,accuracy,Naive Bayes,Correlation,multiclass
1,77.20966935157776,0.31703618842240044,0.3239879953532862,0.3170259279877759,0.2366556644812248,accuracy,Naive Bayes,Correlation,multiclass
2,77.76293778419495,0.3179566667789871,0.3333757461870774,0.3179667408823703,0.2366726608666605,accuracy,Naive Bayes,Correlation,multiclass
3,61.861207723617554,0.3288405162246858,0.3945533392121472,0.3288513929419133,0.25774609337303017,accuracy,Naive Bayes,Correlation,multiclass
4,58.81842541694641,0.31542945715537285,0.35339943217592734,0.31541018913726615,0.24102027471900941,accuracy,Naive Bayes,Correlation,multiclass
fold average,70.25650429725647,0.3197517502974605,0.35165260016218486,0.3197478687365994,0.24253430954036187,accuracy,Naive Bayes,Correlation,multiclass
0,106.815358877182,0.3216524024529955,0.5129478224883729,0.3216409548644084,0.23748789618275365,accuracy,Naive Bayes,Mutual Information,multiclass
1,105.11130404472351,0.3186198530898309,0.42031407974495005,0.3186096993855384,0.2342278339987233,accuracy,Naive Bayes,Mutual Information,multiclass
2,109.65693640708923,0.3199784344778785,0.33622059963228085,0.3199885903298605,0.24014979223911107,accuracy,Naive Bayes,Mutual Information,multiclass
3,79.14752316474915,0.3280992014017589,0.3857991744167382,0.32811005313870534,0.2563638094285255,accuracy,Naive Bayes,Mutual Information,multiclass
4,77.22722434997559,0.31364356235468543,0.3747573269321765,0.3136242205362512,0.24350103067848805,accuracy,Naive Bayes,Mutual Information,multiclass
fold average,95.5916693687439,0.3203986907554298,0.40600780064290365,0.3203947036509528,0.2423460725055203,accuracy,Naive Bayes,Mutual Information,multiclass
0,36.75009846687317,0.17969539726396658,0.2011938466106509,0.1797042388161315,0.11836505821463399,accuracy,Naive Bayes,PCA,multiclass
1,30.65936279296875,0.1778084776602197,0.18779314801310085,0.1778069357631539,0.11771538047940495,accuracy,Naive Bayes,PCA,multiclass
2,28.634340524673462,0.1772753310644607,0.19484966404203266,0.1772809233823924,0.11661402531633258,accuracy,Naive Bayes,PCA,multiclass
3,28.62048602104187,0.17889274522357382,0.2065778930944764,0.17889856911120838,0.1184206780607454,accuracy,Naive Bayes,PCA,multiclass
4,29.73584270477295,0.18451999865215488,0.2319055212036222,0.18449251920744036,0.1269643224576004,accuracy,Naive Bayes,PCA,multiclass
fold average,30.88002610206604,0.17963838997287512,0.2044640145927766,0.17963663725606532,0.11961589290574345,accuracy,Naive Bayes,PCA,multiclass
