,Fitting Time,accuracy,Precision,Recall,F1 Score,metric,Classifier,Feature Set,Dataset
0,3822.4393248558044,0.8131949592290586,0.8143047222864511,0.8131829688961996,0.8118318826477079,accuracy,Random Forest,All,multiclass
1,3521.548948764801,0.8107015297526787,0.8130500455079073,0.8107096932508385,0.8097313098230566,accuracy,Random Forest,All,multiclass
2,3607.348515510559,0.8111668969235435,0.8125083350152981,0.8111745765613274,0.8100370093757604,accuracy,Random Forest,All,multiclass
3,3793.2578744888306,0.8130875762374903,0.8137283676296562,0.8130873798108224,0.8117593327246696,accuracy,Random Forest,All,multiclass
4,3611.7467765808105,0.8058092125214813,0.8079560856459449,0.8058036903652415,0.8048588721472721,accuracy,Random Forest,All,multiclass
fold average,3671.268288040161,0.8107920349328503,0.8123095112170514,0.8107916617768858,0.8096436813436932,accuracy,Random Forest,All,multiclass
0,4752.078724145889,0.8100276298941977,0.8119296786747051,0.81001552144459,0.8095296279672417,accuracy,Random Forest,Correlation,multiclass
1,5247.990161895752,0.8115775995687041,0.813605153536635,0.8115859991764465,0.8108916402714926,accuracy,Random Forest,Correlation,multiclass
2,4533.77974486351,0.8111668969235435,0.8135011690005048,0.8111748898341921,0.8098752484346151,accuracy,Random Forest,Correlation,multiclass
3,4800.619500160217,0.8134919297772686,0.814750756427932,0.813491147671598,0.8126012896403401,accuracy,Random Forest,Correlation,multiclass
4,4853.731640338898,0.8110995046669137,0.8136978926569299,0.8110942152612811,0.8103865402179619,accuracy,Random Forest,Correlation,multiclass
fold average,4837.639954280853,0.8114727121661256,0.8134969300593413,0.8114723546776215,0.8106568693063302,accuracy,Random Forest,Correlation,multiclass
0,3464.845624923706,0.812858009299818,0.8138884142331265,0.8128460371200558,0.8118764580680469,accuracy,Random Forest,Mutual Information,multiclass
1,3828.8834438323975,0.8116786845474763,0.8139013795197059,0.8116874723434542,0.8105111000708011,accuracy,Random Forest,Mutual Information,multiclass
2,3771.4158906936646,0.811537554335007,0.8130351757431279,0.8115453554274059,0.8102535664721504,accuracy,Random Forest,Mutual Information,multiclass
3,3284.150839328766,0.8143006368568252,0.8149541614653356,0.8142999909668451,0.8129498955403208,accuracy,Random Forest,Mutual Information,multiclass
4,3578.675188302994,0.808235333760151,0.8101154364556863,0.8082299069781174,0.8072275144274048,accuracy,Random Forest,Mutual Information,multiclass
fold average,3585.5941974163056,0.8117220437598555,0.8131789134833964,0.8117217525671757,0.8105637069157448,accuracy,Random Forest,Mutual Information,multiclass
0,3239.9821333885193,0.813464519172451,0.814292606964986,0.8134524925242198,0.8125910864359427,accuracy,Random Forest,RFE Sets,multiclass
1,3516.192811012268,0.8136666891299953,0.8157323199292824,0.8136745621235346,0.8127576817922186,accuracy,Random Forest,RFE Sets,multiclass
2,3994.270000219345,0.814098460086936,0.8154710849288637,0.8141062657514958,0.8125575042308997,accuracy,Random Forest,RFE Sets,multiclass
3,4276.637809276581,0.8145365097550291,0.8147631532577386,0.8145356538843712,0.8129815798307808,accuracy,Random Forest,RFE Sets,multiclass
4,3542.6657049655914,0.8104592782289315,0.8120086036445177,0.8104538719055042,0.809484017539969,accuracy,Random Forest,RFE Sets,multiclass
fold average,3713.949691772461,0.8132450912746686,0.8144535537450777,0.8132445692378252,0.8120743739659622,accuracy,Random Forest,RFE Sets,multiclass
0,2579.30872964859,0.6692162544645865,0.6671879483465358,0.6691951600595513,0.6662541078764842,accuracy,Random Forest,PCA,multiclass
1,2436.344111442566,0.6713390390188018,0.6667586431932228,0.671344811215234,0.6659631600087929,accuracy,Random Forest,PCA,multiclass
2,2558.441672563553,0.6738888701688176,0.6704099473533303,0.6738978079943531,0.6706906402195987,accuracy,Random Forest,PCA,multiclass
3,2453.301836013794,0.6726758095494828,0.6697541445858052,0.6726767657121052,0.6685920474265085,accuracy,Random Forest,PCA,multiclass
4,2473.474792957306,0.674023654682077,0.6702046917740816,0.6740185951144907,0.6689065909877489,accuracy,Random Forest,PCA,multiclass
fold average,2500.1742285251617,0.6722287255767532,0.6688630750505952,0.6722266280191469,0.6680813093038266,accuracy,Random Forest,PCA,multiclass
