,Fitting Time,accuracy,TP,TN,FP,FN,Precision: 0,Precision: 1,Recall: 0,Recall: 1,F1 Score,metric,Classifier,Feature Set,Dataset
1,30.16649389,0.999221219,10907,10905,10,7,0.999358504,0.999083997,0.99908383,0.999358622,0.999221291,accuracy,Decision Tree,All,binary
2,24.98995185,0.999083788,10907,10902,12,8,0.999266728,0.998900998,0.998900495,0.999267064,0.999083997,accuracy,Decision Tree,All,binary
3,23.65389872,0.999175371,10906,10904,10,8,0.999266862,0.999083914,0.999083746,0.999266997,0.999175447,accuracy,Decision Tree,All,binary
4,24.76003289,0.998946307,10897,10908,6,17,0.998443936,0.999449693,0.999450247,0.998442368,0.998945776,accuracy,Decision Tree,All,binary
5,23.29157114,0.999358622,10906,10908,6,8,0.999267131,0.999450147,0.999450247,0.999266997,0.999358563,accuracy,Decision Tree,All,binary
fold average,25.3723897,0.999157062,10904.6,10905.4,8.8,9.6,0.999120632,0.99919375,0.999193713,0.999120409,0.999157015,accuracy,Decision Tree,All,binary
1,23.07833409,0.999129598,10903,10907,8,11,0.998992489,0.999266795,0.999267064,0.99899212,0.999129439,accuracy,Decision Tree,Correlation,binary
2,23.31186843,0.997709469,10908,10871,43,7,0.999356499,0.996073418,0.996060106,0.999358681,0.997713345,accuracy,Decision Tree,Correlation,binary
3,21.8864603,0.999541873,10907,10911,3,7,0.999358857,0.999725023,0.999725124,0.999358622,0.999541789,accuracy,Decision Tree,Correlation,binary
4,22.33066463,0.999037933,10901,10906,8,13,0.998809415,0.999266661,0.999266997,0.998808869,0.999037713,accuracy,Decision Tree,Correlation,binary
5,21.24904919,0.999587686,10907,10912,2,7,0.999358916,0.999816665,0.999816749,0.999358622,0.999587591,accuracy,Decision Tree,Correlation,binary
fold average,22.37127533,0.999001312,10905.2,10901.4,12.8,9,0.999175235,0.998829712,0.998827208,0.999175383,0.999001975,accuracy,Decision Tree,Correlation,binary
1,25.76478171,0.999358651,10907,10908,7,7,0.999358681,0.999358622,0.999358681,0.999358622,0.999358622,accuracy,Decision Tree,Mutual Information,binary
2,26.12850714,0.999083788,10906,10903,11,9,0.99917522,0.998992397,0.99899212,0.999175447,0.999083914,accuracy,Decision Tree,Mutual Information,binary
3,24.71678758,0.999587686,10905,10914,0,9,0.999176051,1,1,0.999175371,0.999587515,accuracy,Decision Tree,Mutual Information,binary
4,23.18875527,0.999312809,10904,10909,5,10,0.999084165,0.999541663,0.999541873,0.999083746,0.999312652,accuracy,Decision Tree,Mutual Information,binary
5,24.3629148,0.999587686,10909,10910,4,5,0.999541915,0.999633465,0.999633498,0.999541873,0.999587667,accuracy,Decision Tree,Mutual Information,binary
fold average,24.8323493,0.999386124,10906.2,10908.8,5.4,8,0.999267206,0.999505229,0.999505234,0.999267012,0.999386074,accuracy,Decision Tree,Mutual Information,binary
1,21.2626152,0.999129598,10909,10901,14,5,0.999541537,0.998718301,0.998717361,0.999541873,0.999129917,accuracy,Decision Tree,RFE Sets,binary
2,26.12588215,0.999312841,10907,10907,7,8,0.999267064,0.999358622,0.999358622,0.999267064,0.999312841,accuracy,Decision Tree,RFE Sets,binary
3,24.80660462,0.999404435,10908,10907,7,6,0.999450197,0.999358681,0.999358622,0.999450247,0.999404462,accuracy,Decision Tree,RFE Sets,binary
4,25.80912328,0.999083746,10900,10908,6,14,0.998718183,0.999449844,0.999450247,0.998717244,0.99908341,accuracy,Decision Tree,RFE Sets,binary
5,24.19504809,0.999450247,10904,10912,2,10,0.999084417,0.999816615,0.999816749,0.999083746,0.999450046,accuracy,Decision Tree,RFE Sets,binary
fold average,24.43985467,0.999276173,10905.6,10907,7.2,8.6,0.99921228,0.999340412,0.99934032,0.999212035,0.999276135,accuracy,Decision Tree,RFE Sets,binary
1,21.76299882,0.977965092,10669,10679,236,245,0.977572318,0.978358551,0.978378378,0.977551768,0.977954993,accuracy,Decision Tree,PCA,binary
