,Fitting Time,accuracy,Precision,Recall,F1 Score,metric,Classifier,Feature Set,Dataset
1,3.231487274,0.73484123,0.751007255,0.734846766,0.71522654,accuracy,Decision Tree,All,multiclass
2,1.742050409,0.630198704,0.720335247,0.630203994,0.580373144,accuracy,Decision Tree,All,multiclass
3,1.924206972,0.675286064,0.699792329,0.675283015,0.635223467,accuracy,Decision Tree,All,multiclass
4,2.227255106,0.713128133,0.741085213,0.713123549,0.690252617,accuracy,Decision Tree,All,multiclass
5,2.826547623,0.735721781,0.75390264,0.735717472,0.71744487,accuracy,Decision Tree,All,multiclass
fold average,2.390309477,0.697835182,0.733224537,0.697834959,0.667704128,accuracy,Decision Tree,All,multiclass
1,2.639004707,0.738189026,0.751929284,0.738194412,0.72436166,accuracy,Decision Tree,Correlation,multiclass
2,3.575273991,0.736779427,0.750232912,0.736782591,0.722961523,accuracy,Decision Tree,Correlation,multiclass
3,2.336151361,0.737803761,0.755340396,0.737802724,0.721104357,accuracy,Decision Tree,Correlation,multiclass
4,2.070372105,0.725728277,0.755536285,0.725723875,0.703681411,accuracy,Decision Tree,Correlation,multiclass
5,1.977820396,0.676568564,0.694652358,0.676563426,0.633702514,accuracy,Decision Tree,Correlation,multiclass
fold average,2.519724512,0.723013811,0.741538247,0.723013406,0.701162293,accuracy,Decision Tree,Correlation,multiclass
1,2.380569935,0.738722008,0.75200813,0.738727422,0.723918042,accuracy,Decision Tree,Mutual Information,multiclass
2,3.08150053,0.737337397,0.750482778,0.737341148,0.722582192,accuracy,Decision Tree,Mutual Information,multiclass
3,2.743987083,0.738436683,0.750858999,0.738436685,0.725540994,accuracy,Decision Tree,Mutual Information,multiclass
4,2.715360641,0.735855028,0.746365688,0.735850961,0.722013134,accuracy,Decision Tree,Mutual Information,multiclass
5,2.44707799,0.735946635,0.757521298,0.735942327,0.710111609,accuracy,Decision Tree,Mutual Information,multiclass
fold average,2.673699236,0.73725955,0.751447379,0.737259708,0.720833194,accuracy,Decision Tree,Mutual Information,multiclass
1,2.608475447,0.736132046,0.753231142,0.736137454,0.722186541,accuracy,Decision Tree,RFE Sets,multiclass
2,2.194700718,0.726935825,0.751889488,0.72694048,0.704546627,accuracy,Decision Tree,RFE Sets,multiclass
3,3.032986164,0.736562901,0.746893311,0.736562735,0.724111303,accuracy,Decision Tree,RFE Sets,multiclass
4,2.261332273,0.729750662,0.73978508,0.729746464,0.713916893,accuracy,Decision Tree,RFE Sets,multiclass
5,2.33635211,0.738203501,0.755040312,0.738199224,0.723406538,accuracy,Decision Tree,RFE Sets,multiclass
fold average,2.486769342,0.733516987,0.749367867,0.733517272,0.71763358,accuracy,Decision Tree,RFE Sets,multiclass
1,1.312480688,0.716128549,0.730244383,0.71613285,0.698648287,accuracy,Decision Tree,PCA,multiclass
2,1.280952454,0.713736072,0.726928061,0.713740144,0.696697747,accuracy,Decision Tree,PCA,multiclass
3,1.094186544,0.708797615,0.72350803,0.708797859,0.690843484,accuracy,Decision Tree,PCA,multiclass
4,1.01426816,0.713402955,0.73306655,0.713398491,0.695517809,accuracy,Decision Tree,PCA,multiclass
5,1.220186949,0.717841736,0.735179189,0.717837847,0.70063451,accuracy,Decision Tree,PCA,multiclass
fold average,1.184414959,0.713981385,0.729785243,0.713981438,0.696468367,accuracy,Decision Tree,PCA,multiclass
1,22.63216376,0.681001674,0.71099625,0.681006964,0.632438326,accuracy,Random Forest,All,multiclass
2,204.7170763,0.738744816,0.761055425,0.738748713,0.720944225,accuracy,Random Forest,All,multiclass
3,97.4802289,0.741401422,0.762494068,0.741400575,0.725454024,accuracy,Random Forest,All,multiclass
4,164.5015483,0.73961092,0.760819742,0.739606796,0.72253409,accuracy,Random Forest,All,multiclass
5,134.8073847,0.740393744,0.760437609,0.740389507,0.723578469,accuracy,Random Forest,All,multiclass
fold average,124.8276804,0.728230515,0.751160619,0.728230511,0.704989827,accuracy,Random Forest,All,multiclass
1,111.5027504,0.74084561,0.757021304,0.740851055,0.726008296,accuracy,Random Forest,Correlation,multiclass
2,120.6118252,0.739902397,0.753897768,0.739905552,0.72589689,accuracy,Random Forest,Correlation,multiclass
