,Fitting Time,accuracy,Precision,Recall,F1 Score,metric,Classifier,Feature Set,Dataset
1,118.6389346,0.739329941,0.752384471,0.739335331,0.725044881,accuracy,Decision Tree,All,multiclass
2,124.8113739,0.738236813,0.75006935,0.738240172,0.724770885,accuracy,Decision Tree,All,multiclass
3,122.3772757,0.738844751,0.756110395,0.738843061,0.719925376,accuracy,Decision Tree,All,multiclass
4,123.7660904,0.737387365,0.747051122,0.737383336,0.72341088,accuracy,Decision Tree,All,multiclass
5,115.5637414,0.741084961,0.751582795,0.741080732,0.727703872,accuracy,Decision Tree,All,multiclass
fold average,121.0314832,0.738976766,0.751439627,0.738976526,0.724171179,accuracy,Decision Tree,All,multiclass
1,102.3256226,0.740404234,0.756315945,0.740409731,0.72518905,accuracy,Decision Tree,Correlation,multiclass
2,106.8704138,0.738469995,0.756500583,0.738473793,0.722316176,accuracy,Decision Tree,Correlation,multiclass
3,110.197217,0.739411049,0.757166094,0.73941083,0.724310949,accuracy,Decision Tree,Correlation,multiclass
4,101.9940541,0.737670514,0.751013299,0.73766634,0.72167019,accuracy,Decision Tree,Correlation,multiclass
5,103.7824788,0.739794134,0.755332246,0.739789891,0.723891282,accuracy,Decision Tree,Correlation,multiclass
fold average,105.0339572,0.739149985,0.755265634,0.739150117,0.723475529,accuracy,Decision Tree,Correlation,multiclass
1,109.0615468,0.740221021,0.750611512,0.740226308,0.726823402,accuracy,Decision Tree,Mutual Information,multiclass
2,107.010468,0.738161861,0.7510105,0.738165654,0.723355889,accuracy,Decision Tree,Mutual Information,multiclass
3,109.3413582,0.741076634,0.753545918,0.741076243,0.727487056,accuracy,Decision Tree,Mutual Information,multiclass
4,106.0386651,0.737762121,0.748439899,0.737758058,0.722613268,accuracy,Decision Tree,Mutual Information,multiclass
5,113.4292104,0.740543647,0.75175634,0.740539414,0.726047176,accuracy,Decision Tree,Mutual Information,multiclass
fold average,108.9762497,0.739553057,0.751072834,0.739553135,0.725265358,accuracy,Decision Tree,Mutual Information,multiclass
1,115.678612,0.740629086,0.754269268,0.740634475,0.726789358,accuracy,Decision Tree,RFE Sets,multiclass
2,108.8331618,0.739194524,0.752174534,0.739198057,0.724976049,accuracy,Decision Tree,RFE Sets,multiclass
3,112.9067562,0.739777478,0.754496466,0.739777242,0.726348793,accuracy,Decision Tree,RFE Sets,multiclass
4,115.0792763,0.737595563,0.751136265,0.737591429,0.723217098,accuracy,Decision Tree,RFE Sets,multiclass
5,108.8998823,0.739985676,0.752496244,0.73998143,0.725265548,accuracy,Decision Tree,RFE Sets,multiclass
fold average,112.2795377,0.739436465,0.752914555,0.739436526,0.725319369,accuracy,Decision Tree,RFE Sets,multiclass
1,72.49448204,0.719143231,0.734640554,0.719147478,0.702443853,accuracy,Decision Tree,PCA,multiclass
2,70.67794776,0.716750779,0.730100197,0.716754908,0.700004328,accuracy,Decision Tree,PCA,multiclass
3,73.36388922,0.717008944,0.733126535,0.717008946,0.701270335,accuracy,Decision Tree,PCA,multiclass
4,76.01300931,0.722438748,0.74262156,0.722434364,0.706015925,accuracy,Decision Tree,PCA,multiclass
5,67.0459938,0.718091574,0.736000814,0.71808778,0.701547103,accuracy,Decision Tree,PCA,multiclass
fold average,71.91906443,0.718686655,0.735297932,0.718686695,0.702256309,accuracy,Decision Tree,PCA,multiclass
