,Fitting Time,accuracy,Precision,Recall,F1 Score,metric,Classifier,Feature Set,Dataset
1,73.60925459861755,0.7281165036407388,0.7512955665224726,0.7281320236320797,0.7175822584767898,accuracy,Decision Tree,All,multiclass
2,71.99713087081909,0.7292727897746805,0.7497856765192266,0.7292745219488225,0.7229911467186204,accuracy,Decision Tree,All,multiclass
3,72.0658597946167,0.7337416794274821,0.7537996388595177,0.7337345913156205,0.7265160342646078,accuracy,Decision Tree,All,multiclass
4,69.78602290153503,0.735795987249203,0.7563481694396365,0.7357889809910295,0.728787449228546,accuracy,Decision Tree,All,multiclass
5,67.42575573921204,0.7332020751296956,0.7534066745118108,0.7332100765161295,0.7264539180615045,accuracy,Decision Tree,All,multiclass
fold average,70.97680478096008,0.73202580704436,0.7529271451705328,0.7320280388807363,0.7244661613500136,accuracy,Decision Tree,All,multiclass
1,62.75200819969177,0.733585424544517,0.7553318490285781,0.7336000080822606,0.7274896677570565,accuracy,Decision Tree,Correlation,multiclass
2,62.572020530700684,0.7300540641895059,0.7532258241357838,0.7300552289365929,0.7220156174318656,accuracy,Decision Tree,Correlation,multiclass
3,64.17225313186646,0.7349917184912028,0.7577028674142552,0.7349850093757034,0.7267060982689535,accuracy,Decision Tree,Correlation,multiclass
4,64.54991364479065,0.7325145321582599,0.754105014875424,0.7325071683181387,0.7251455358777293,accuracy,Decision Tree,Correlation,multiclass
5,66.42245411872864,0.7334833427089194,0.7540933824994002,0.7334909631982424,0.7266076435586112,accuracy,Decision Tree,Correlation,multiclass
fold average,64.09372992515564,0.7329258164184809,0.7548917875906882,0.7329276755821875,0.7255929125788432,accuracy,Decision Tree,Correlation,multiclass
1,68.44234490394592,0.7319603737616801,0.7528621237345083,0.7319755979489809,0.7242663837499789,accuracy,Decision Tree,Mutual Information,multiclass
2,59.91914463043213,0.7240851276602394,0.745924125025839,0.7240859708740458,0.7155674772556231,accuracy,Decision Tree,Mutual Information,multiclass
3,70.18993496894836,0.7310540954404825,0.7536959274167812,0.7310476264547953,0.7224688323268879,accuracy,Decision Tree,Mutual Information,multiclass
4,63.96225595474243,0.7335145946621664,0.7554941057203571,0.7335076762253929,0.7250877373811423,accuracy,Decision Tree,Mutual Information,multiclass
5,63.21504521369934,0.7232639539971248,0.7507544193342203,0.7232764790372697,0.7101457986955063,accuracy,Decision Tree,Mutual Information,multiclass
fold average,65.14574513435363,0.7287756291043387,0.7517461402463412,0.7287786701080969,0.7195072458818277,accuracy,Decision Tree,Mutual Information,multiclass
1,63.40833020210266,0.7314603581361917,0.7510035123253225,0.7314755666794462,0.7232992183430961,accuracy,Decision Tree,RFE Sets,multiclass
2,65.70641207695007,0.7260226882090065,0.7426977393908506,0.7260349489322087,0.7210518375703554,accuracy,Decision Tree,RFE Sets,multiclass
3,61.215205907821655,0.7339291852870402,0.7544201903118138,0.7339219858395419,0.7264969301719254,accuracy,Decision Tree,RFE Sets,multiclass
4,72.2728202342987,0.7323895243452716,0.7510111142730828,0.7323823245837705,0.7275844179563978,accuracy,Decision Tree,RFE Sets,multiclass
5,62.07016611099243,0.7330770673167073,0.7533321664527802,0.7330849866572381,0.7254504835370789,accuracy,Decision Tree,RFE Sets,multiclass
fold average,64.93458690643311,0.7313757646588435,0.75049294455077,0.7313799625384411,0.7247765775157706,accuracy,Decision Tree,RFE Sets,multiclass
1,58.90285325050354,0.6998031188474639,0.7139061468541023,0.6998169325796016,0.6934700184668235,accuracy,Decision Tree,PCA,multiclass
2,48.10381293296814,0.6992406012687896,0.7162633908156306,0.6992449509077683,0.6922779217486611,accuracy,Decision Tree,PCA,multiclass
3,46.978476762771606,0.7024282008812776,0.7194892402832948,0.7024250086706153,0.6949980166209011,accuracy,Decision Tree,PCA,multiclass
4,48.54032611846924,0.7026689168073005,0.7194575967186233,0.7026589207294326,0.6955157963079651,accuracy,Decision Tree,PCA,multiclass
5,54.664196729660034,0.7011375710981936,0.7173144576250708,0.7011413872403235,0.6941352802864182,accuracy,Decision Tree,PCA,multiclass
fold average,51.437933158874515,0.7010556817806051,0.7172861664593444,0.7010574400255483,0.6940794066861538,accuracy,Decision Tree,PCA,multiclass
