,Fitting Time,accuracy,Precision,Recall,F1 Score,metric,Classifier,Feature Set,Dataset
1,1245.0562236309052,0.7129285290165318,0.7245516331410213,0.7129423549175633,0.7093143976658006,accuracy,KNN,All,multiclass
2,1196.3597962856293,0.7039282477577424,0.7123299647678102,0.7039349240197188,0.6999419257092797,accuracy,KNN,All,multiclass
3,1205.749179840088,0.7151473483546361,0.7296782922399904,0.715138770163107,0.7100705801501097,accuracy,KNN,All,multiclass
4,1180.763797044754,0.7093568348021752,0.7177032002060395,0.7093468037988125,0.7052611087305168,accuracy,KNN,All,multiclass
5,1299.6478626728058,0.7138258641165073,0.7276052047207672,0.7138289657716266,0.709648935824474,accuracy,KNN,All,multiclass
fold average,1225.5153718948363,0.7110373648095185,0.7223736590151256,0.7110383637341656,0.7068473896160361,accuracy,KNN,All,multiclass
1,854.095312833786,0.7128972780399387,0.7221955787310916,0.7129099836826472,0.7097356354517804,accuracy,KNN,Correlation,multiclass
2,876.4950726032257,0.7059283102596956,0.719449032056022,0.7059354944660424,0.7010524932148439,accuracy,KNN,Correlation,multiclass
3,836.7963728904724,0.7149598424950779,0.7291833885303528,0.7149512584370313,0.7101010106173647,accuracy,KNN,Correlation,multiclass
4,824.6745710372925,0.7095443465216577,0.7183686191864213,0.7095339756386415,0.705191769807208,accuracy,KNN,Correlation,multiclass
5,897.0307786464691,0.7141696356022251,0.7280388837160435,0.7141726493678161,0.7099666783111708,accuracy,KNN,Correlation,multiclass
fold average,857.8184216022491,0.7114998825837191,0.7234471004439862,0.7115006723184357,0.7072095174804736,accuracy,KNN,Correlation,multiclass
1,614.6757376194,0.7126785212037876,0.7221688705573074,0.7126913196240566,0.709498460615604,accuracy,KNN,Mutual Information,multiclass
2,632.1763429641724,0.7062720710022188,0.720124980092612,0.7062793421452476,0.7013460705025462,accuracy,KNN,Mutual Information,multiclass
3,604.0873363018036,0.714866089565299,0.7295803846391921,0.7148575553149629,0.7097335754215699,accuracy,KNN,Mutual Information,multiclass
4,649.3832142353058,0.7091068191761986,0.7178267746253636,0.7090966006405989,0.7049289534037811,accuracy,KNN,Mutual Information,multiclass
5,665.4077565670013,0.7136383523970248,0.7276412813799865,0.7136413485636126,0.7093904126071986,accuracy,KNN,Mutual Information,multiclass
fold average,633.1460775375366,0.7113123706689058,0.7234684582588924,0.7113132332576957,0.70697949451014,accuracy,KNN,Mutual Information,multiclass
1,152.39173913002014,0.7004593893559173,0.7091160528526493,0.7004720691796495,0.6967573778992429,accuracy,KNN,PCA,multiclass
2,137.87946009635925,0.7014594206068939,0.7112718043091739,0.7014681234050545,0.6992629374521259,accuracy,KNN,PCA,multiclass
3,163.20050430297852,0.7078033688552767,0.7212551573125721,0.7077944026689087,0.7026790247711704,accuracy,KNN,PCA,multiclass
4,145.79647755622864,0.704481530095631,0.7116395349655334,0.7044729991084199,0.7008298990991269,accuracy,KNN,PCA,multiclass
5,151.72956562042236,0.7086380398774923,0.722795149301359,0.7086430869059597,0.703636626038953,accuracy,KNN,PCA,multiclass
fold average,150.1995493412018,0.7045683497582422,0.7152155397482576,0.7045701362535984,0.7006331730521238,accuracy,KNN,PCA,multiclass
