,Fitting Time,accuracy,Precision,Recall,F1 Score,metric,Classifier,Feature Set,Dataset
1,384.53373885154724,0.6109253414169192,0.6348206611756168,0.6109465710072062,0.5886492181751827,accuracy,Logistic Regression,All,multiclass
2,363.3974916934967,0.6074877339916872,0.6171033794319954,0.6074877244808016,0.5843254474687863,accuracy,Logistic Regression,All,multiclass
3,360.0518231391907,0.6019563111347229,0.6087532074052093,0.6019447189318891,0.578903605750316,accuracy,Logistic Regression,All,multiclass
4,382.2563591003418,0.5968498031126945,0.6073332458660149,0.5968433897000686,0.5574118016717479,accuracy,Logistic Regression,All,multiclass
5,375.01433062553406,0.6054128383023939,0.6108972324126304,0.6054143480564554,0.5823348691497916,accuracy,Logistic Regression,All,multiclass
fold average,373.0507486820221,0.6045264055916835,0.6157815452582934,0.6045273504352842,0.5783249884431648,accuracy,Logistic Regression,All,multiclass
1,255.88374066352844,0.6018938091815369,0.6090144537895811,0.6019173405087305,0.5787173365054181,accuracy,Logistic Regression,Correlation,multiclass
2,244.91644191741943,0.6048314009812806,0.614570152244771,0.6048312321799985,0.5818173487684147,accuracy,Logistic Regression,Correlation,multiclass
3,242.85642623901367,0.6008625269539674,0.6072994684255419,0.6008506719855816,0.5774601915422524,accuracy,Logistic Regression,Correlation,multiclass
4,231.562237739563,0.6020376273517095,0.6094759431147144,0.6020326322675532,0.5795322558519879,accuracy,Logistic Regression,Correlation,multiclass
5,239.05952882766724,0.6036314769673105,0.6093409600079576,0.6036334261668154,0.5805255877331433,accuracy,Logistic Regression,Correlation,multiclass
fold average,242.85567507743835,0.6026513682871609,0.6099401955165132,0.602653060621736,0.5796105440802433,accuracy,Logistic Regression,Correlation,multiclass
1,229.47672867774963,0.6063001968811526,0.6313901263699188,0.6063213520853029,0.5903265921872602,accuracy,Logistic Regression,Mutual Information,multiclass
2,251.81025791168213,0.5982686958967468,0.6122676833803029,0.5982705368880653,0.5699194692750932,accuracy,Logistic Regression,Mutual Information,multiclass
3,234.331871509552,0.5997999937498046,0.6066451293587943,0.5997881172580359,0.5764879485961208,accuracy,Logistic Regression,Mutual Information,multiclass
4,235.95276927947998,0.6029439339958748,0.6100825196627446,0.6029389096430463,0.5802158018121242,accuracy,Logistic Regression,Mutual Information,multiclass
5,257.68540954589844,0.6071316957309831,0.6122059285722036,0.6071326605554651,0.5839500216711045,accuracy,Logistic Regression,Mutual Information,multiclass
fold average,241.85140738487243,0.6028889032509124,0.6145182774687928,0.6028903152859831,0.5801799667083406,accuracy,Logistic Regression,Mutual Information,multiclass
1,224.1724455356598,0.611987874621082,0.6358167609733684,0.6120091374549674,0.5965681523325578,accuracy,Logistic Regression,RFE Sets,multiclass
2,209.30748796463013,0.5957373667927123,0.6085622913548479,0.5957390172439997,0.5668819773571939,accuracy,Logistic Regression,RFE Sets,multiclass
3,208.6993372440338,0.5998937466795837,0.6076474433077942,0.5998823243493664,0.5766342311228119,accuracy,Logistic Regression,RFE Sets,multiclass
4,211.46313214302063,0.5913494593412089,0.6016293866563142,0.5913425300457098,0.5683309473813704,accuracy,Logistic Regression,RFE Sets,multiclass
5,208.25707721710205,0.5977561097568598,0.6041585305559681,0.597762676514648,0.5753172271588584,accuracy,Logistic Regression,RFE Sets,multiclass
fold average,212.37989602088928,0.5993449114382893,0.6115628825696585,0.5993471371217384,0.5767465070705585,accuracy,Logistic Regression,RFE Sets,multiclass
1,59.47482872009277,0.31257226788337134,0.19812967822223596,0.3125679362285266,0.21145763124313108,accuracy,Logistic Regression,PCA,multiclass
2,56.843003273010254,0.3011656614269196,0.1954962124711691,0.3011392729134665,0.20951841827105522,accuracy,Logistic Regression,PCA,multiclass
3,58.36646127700806,0.31391605987687116,0.19224716448946833,0.3138864018591825,0.21147674439561812,accuracy,Logistic Regression,PCA,multiclass
4,58.07307958602905,0.3115194699668729,0.19044374939206188,0.3115340960286941,0.2107774854291755,accuracy,Logistic Regression,PCA,multiclass
5,63.85999321937561,0.3176448528033002,0.23548141130150826,0.3176833531592497,0.21771301678768518,accuracy,Logistic Regression,PCA,multiclass
fold average,59.32347321510315,0.311363662391467,0.2023596431752887,0.3113622120378239,0.21218865922533303,accuracy,Logistic Regression,PCA,multiclass
