,Fitting Time,accuracy,Precision,Recall,F1 Score,metric,Classifier,Feature Set,Dataset
1,2103.1354632377625,0.7364292634144817,0.755215246984546,0.7364436722228925,0.7310140137334434,accuracy,Random Forest,All,multiclass
2,2217.435067176819,0.7340854401700053,0.756379633561458,0.7340862446582773,0.7268594071075539,accuracy,Random Forest,All,multiclass
3,1955.746220111847,0.7384605768930279,0.7602391658789425,0.7384545564587622,0.7313656339332534,accuracy,Random Forest,All,multiclass
4,2253.959004640579,0.7388586786674167,0.7603501478206445,0.7388522936883453,0.7319220779858645,accuracy,Random Forest,All,multiclass
5,2143.1536300182343,0.7368273017063567,0.7593537969723988,0.7368356431065021,0.7294017926270433,accuracy,Random Forest,All,multiclass
fold average,2134.685877037048,0.7369322521702577,0.758307598243598,0.7369344820269559,0.7301125850774317,accuracy,Random Forest,All,multiclass
1,1700.7463383674622,0.7381480671270977,0.7599074655100685,0.738162277727287,0.7314115004211765,accuracy,Random Forest,Correlation,multiclass
2,1710.0930769443512,0.7327728991530985,0.7544430310732221,0.7327737680576876,0.7258954709941645,accuracy,Random Forest,Correlation,multiclass
3,2307.418286085129,0.7361480046251445,0.7576686904015196,0.7361415602307025,0.7295297333680223,accuracy,Random Forest,Correlation,multiclass
4,2072.860617160797,0.7384836552284518,0.758806687117727,0.7384771295936096,0.7325426930634912,accuracy,Random Forest,Correlation,multiclass
5,2072.1348152160645,0.7384524032752047,0.759029013594061,0.7384596195918122,0.732149594258976,accuracy,Random Forest,Correlation,multiclass
fold average,1972.6506267547607,0.7368010058817994,0.7579709775393196,0.7368028710402198,0.730305798421166,accuracy,Random Forest,Correlation,multiclass
1,2497.320709466934,0.7385230788462139,0.7602621183816209,0.7385376762263306,0.7316871546020213,accuracy,Random Forest,Mutual Information,multiclass
2,2142.5355293750763,0.7328041501296916,0.7543939222102015,0.7328050493125718,0.7257462887159623,accuracy,Random Forest,Mutual Information,multiclass
3,2187.443946838379,0.7387418356823651,0.7610335868558361,0.7387354900217368,0.7316663323912765,accuracy,Random Forest,Mutual Information,multiclass
4,2034.709145307541,0.7383586474154634,0.7604459128825688,0.7383522624188105,0.7312265503702333,accuracy,Random Forest,Mutual Information,multiclass
5,1756.3314898014069,0.7375773485842865,0.7603798209693902,0.7375857720523119,0.7301806854637046,accuracy,Random Forest,Mutual Information,multiclass
fold average,2123.6681641578675,0.7372010121316042,0.7593030722599236,0.7372032500063523,0.7301014023086396,accuracy,Random Forest,Mutual Information,multiclass
1,1811.5380759239197,0.7377418044313885,0.7589247813692329,0.737755984740467,0.7311715781143557,accuracy,Random Forest,RFE Sets,multiclass
2,2206.0481944084167,0.7344604518891216,0.7575454680911431,0.7344610805869821,0.7268141425077569,accuracy,Random Forest,RFE Sets,multiclass
3,2396.598835706711,0.7387418356823651,0.7607743880008623,0.7387359002292756,0.7314259102557791,accuracy,Random Forest,RFE Sets,multiclass
4,1986.814038991928,0.7378898681167573,0.7567499447279634,0.7378835124041602,0.7321550463166808,accuracy,Random Forest,RFE Sets,multiclass
5,2437.3065254688263,0.7361085067816738,0.7549336686720561,0.7361147795385291,0.7300470670657063,accuracy,Random Forest,RFE Sets,multiclass
fold average,2167.6611340999602,0.7369884933802612,0.7577856501722515,0.7369902514998827,0.7303227488520557,accuracy,Random Forest,RFE Sets,multiclass
1,1262.801619052887,0.7071470983468233,0.7215541371535014,0.7071622376910313,0.7000247592035609,accuracy,Random Forest,PCA,multiclass
2,1295.8522288799286,0.7063658239319979,0.7232663239887241,0.7063707012242375,0.6991483414963784,accuracy,Random Forest,PCA,multiclass
3,1558.290857076645,0.7107097096784275,0.7271284482295757,0.7107069699558372,0.7030073159375808,accuracy,Random Forest,PCA,multiclass
4,1331.467159986496,0.7108569285580348,0.7278881843530388,0.7108457724667386,0.7030940546012717,accuracy,Random Forest,PCA,multiclass
5,1254.4895520210266,0.7074504656541034,0.7231226422425748,0.7074530279551516,0.6999090922207302,accuracy,Random Forest,PCA,multiclass
fold average,1340.5802834033966,0.7085060052338774,0.724591947193483,0.7085077418585992,0.7010367126919044,accuracy,Random Forest,PCA,multiclass
